dataplane_mode,sku_id,sku_cpu,sku_memory_gb,throughput_rps_mean,throughput_rps_std,avg_latency_ms_mean,avg_latency_ms_std,avg_vm_watts_mean,avg_vm_watts_std,avg_host_watts_mean,avg_host_watts_std,throughput_per_vm_watt_mean,throughput_per_vm_watt_std,replicas_mean,replicas_std
baseline,c4-r4g,4,4,10.470833333333333,1.9046286213288892,1956.0,347.26070897813935,489208.33333325,177432.37496371655,43.37499975,16.196921995826518,2.4290947317725725e-05,1.1127695067266017e-05,12.0,0.0
baseline,c4-r8g,4,8,15.465555555555554,0.46947172833271317,1197.0,41.58124577258358,480833.3333333333,83516.96434457692,47.50000033333333,7.076957915187382,3.281355659082996e-05,5.666589974517994e-06,16.0,0.0
baseline,c4-r16g,4,16,15.467777777777778,0.508662006677358,1195.6666666666667,42.548012096140674,439555.5555556666,155830.60009490047,50.666666666666664,12.31642954440216,3.86298131339128e-05,1.4773578852900055e-05,16.0,0.0
baseline,c8-r8g,8,8,30.188888888888886,0.5674243300832018,565.0,12.288205727444508,504500.0,234998.64065833637,37.833333333333336,24.819907125576083,7.303522166921824e-05,4.35131988089343e-05,24.0,0.0
baseline,c8-r16g,8,16,30.144444444444446,0.36782141399406376,565.3333333333334,8.386497083606091,493555.5555553333,256033.0020684361,60.22222200000001,4.0971988556772505,8.00643005755658e-05,5.559058170475153e-05,32.0,0.0
baseline,c8-r24g,8,24,30.203333333333333,0.7734985455707075,564.0,16.09347693943108,442277.7777776667,56991.79603076917,47.833333333333336,1.6414763849115646,6.922985178359239e-05,1.0992065894583617e-05,32.0,0.0
baseline,c16-r8g,16,8,34.14,0.16825905952165526,490.3333333333333,4.509249752822887,584388.8888886666,2694.301256039497,51.05555566666666,2.6943010775146043,5.841998007990667e-05,8.006520647590016e-08,24.0,0.0
baseline,c16-r16g,16,16,46.76333333333333,0.1909915646770235,331.3333333333333,1.5275252316519405,869944.4444443333,17429.48757210561,47.72222233333333,8.226538286860718,5.37674564329297e-05,1.000111385600225e-06,49.0,0.0
baseline,c16-r24g,16,24,47.74111111111111,0.22998389637666508,322.6666666666667,2.309401076758499,676833.3333333334,134600.7470673908,49.05555533333333,15.418543261161094,7.228762129771599e-05,1.3245140103480632e-05,64.0,0.0
calico,c8-r8g,8,8,29.646666666666665,0.5614564393907446,577.0,13.527749258468683,526222.2222223333,182198.78744963644,48.44444433333334,6.604572142477156,6.017628937611552e-05,1.6631531931194212e-05,24.0,0.0
calico,c8-r16g,8,16,29.95555555555556,0.21103799903580608,569.0,5.291502622129181,481833.3333333333,90921.36407080146,54.05555566666667,15.841518272728326,6.35365021973821e-05,1.0866391065359288e-05,32.0,0.0
calico,c8-r24g,8,24,30.00111111111111,0.20876178165910042,568.3333333333334,4.509249752822895,505888.888889,124355.48655766246,44.77777799999999,10.690511351799922,6.191965663064013e-05,1.6057902410397353e-05,32.0,0.0
calico,c16-r8g,16,8,34.03111111111111,0.7322744881026004,490.3333333333333,14.6401275039985,605888.8888886666,47252.963849824206,55.88888866666667,2.8004629610648935,5.635491150126186e-05,3.6925802632221578e-06,24.0,0.0
calico,c16-r16g,16,16,46.92222222222222,0.25639234980208964,330.0,2.6457513110645907,803222.2222223333,46083.358448524355,53.22222233333333,3.9169624947381494,5.853467543867297e-05,3.070939580728178e-06,49.0,0.0
calico,c16-r24g,16,24,47.62888888888889,0.058909849519161055,323.6666666666667,0.5773502691896216,570000.0,227726.8710049747,47.77777766666667,11.025643600094114,9.330727100459587e-05,3.7617201788959324e-05,64.0,0.0
cilium,c8-r8g,8,8,29.506666666666668,0.22156012477178436,579.5,4.949747468305833,588333.3333335,86738.4318257856,55.0,7.5424718612519905,5.0732086939267676e-05,7.856059698241309e-06,24.0,0.0
cilium,c8-r16g,8,16,29.503333333333334,0.30805843601498845,579.6666666666666,7.234178138070251,479166.6666666667,76942.79982165141,51.388889,7.92382700864696,6.265287563261657e-05,1.0112416245214817e-05,32.0,0.0
cilium,c8-r24g,8,24,29.193333333333335,0.254558441227158,586.5,4.949747468305833,596666.6666665,94988.01093915712,55.0,12.492219329557823,4.9520942444177535e-05,7.456990024657522e-06,32.0,0.0
cilium,c16-r8g,16,8,33.545,0.6340390804639363,496.0,5.656854249492381,607750.0,34766.083407867125,57.75,35.944595181720686,5.5255962129700494e-05,2.117637692668328e-06,24.0,0.0
cilium,c16-r16g,16,16,46.864999999999995,0.4030508652763298,330.5,3.5355339059327378,820166.6666665,2592.7248645863647,45.166667,9.192388155425117,5.714188730483183e-05,6.720634716127752e-07,49.0,0.0
cilium,c16-r24g,16,24,47.42333333333333,0.3865517070486461,325.5,3.5355339059327378,440416.6666665,428388.85826861433,40.4166665,27.695015832175372,0.00020515767087920974,0.00020043249672675465,64.0,0.0
