sku_id,run_id,cpu,memory_mb,replicas,total_requests,success_requests,avg_latency_ms,avg_vm_watts,avg_host_watts,power_samples,dataplane_mode,endpoint,run_dir,sku_cpu,sku_memory_gb,success_rate,throughput_rps,throughput_per_vm_watt
c4-r4g,20260517T140418Z,4,4096,12,3018,3018,2248.0,629666.666667,63.0,6,baseline,http://192.168.39.166:32477,/home/darius/dizertatie/masters-research/results/c4-r4g/20260517T140418Z,4,4,1.0,10.06,1.59767072525061e-05
c4-r4g,20260517T152059Z,4,4096,12,2782,2782,2065.0,529833.333333,29.833333,6,baseline,http://10.110.219.213:80,/home/darius/dizertatie/masters-research/results/c4-r4g/20260517T152059Z,4,4,1.0,9.273333333333333,1.7502359232474052e-05
c4-r4g,20260517T160608Z,4,4096,12,2783,2783,2059.0,230333.333333,30.333333,6,baseline,http://10.103.191.187:80,/home/darius/dizertatie/masters-research/results/c4-r4g/20260517T160608Z,4,4,1.0,9.276666666666667,4.027496382060822e-05
c4-r4g,20260517T161855Z,4,4096,12,3982,3982,1452.0,567000.0,50.333333,6,baseline,http://10.102.161.138:80,/home/darius/dizertatie/masters-research/results/c4-r4g/20260517T161855Z,4,4,1.0,13.273333333333333,2.340975896531452e-05
c4-r8g,20260517T140700Z,4,8192,16,4550,4550,1222.0,577000.0,43.666667,6,baseline,http://10.100.191.236:80,/home/darius/dizertatie/masters-research/results/c4-r8g/20260517T140700Z,4,8,1.0,15.166666666666666,2.6285384170999422e-05
c4-r8g,20260517T152254Z,4,8192,16,4802,4802,1149.0,439000.0,55.666667,6,baseline,http://192.168.39.243:31539,/home/darius/dizertatie/masters-research/results/c4-r8g/20260517T152254Z,4,8,1.0,16.006666666666668,3.646165527714503e-05
c4-r8g,20260517T162052Z,4,8192,16,4567,4567,1220.0,426500.0,43.166667,6,baseline,http://192.168.39.181:31222,/home/darius/dizertatie/masters-research/results/c4-r8g/20260517T162052Z,4,8,1.0,15.223333333333333,3.5693630324345445e-05
c4-r16g,20260517T140859Z,4,16384,16,4491,4491,1237.0,270000.0,36.666667,6,baseline,http://192.168.39.101:32555,/home/darius/dizertatie/masters-research/results/c4-r16g/20260517T140859Z,4,16,1.0,14.97,5.544444444444445e-05
c4-r16g,20260517T152524Z,4,16384,16,4796,4796,1152.0,576500.0,59.833333,6,baseline,http://192.168.39.186:32432,/home/darius/dizertatie/masters-research/results/c4-r16g/20260517T152524Z,4,16,1.0,15.986666666666666,2.773055796472969e-05
c4-r16g,20260517T162335Z,4,16384,16,4634,4634,1198.0,472166.666667,55.5,6,baseline,http://192.168.39.247:32645,/home/darius/dizertatie/masters-research/results/c4-r16g/20260517T162335Z,4,16,1.0,15.446666666666667,3.271443699256427e-05
c8-r8g,20260517T141133Z,8,8192,24,8940,8940,574.0,715666.666667,65.666667,6,baseline,http://192.168.39.213:30264,/home/darius/dizertatie/masters-research/results/c8-r8g/20260517T141133Z,8,8,1.0,29.8,4.1639496972500396e-05
c8-r8g,20260517T142647Z,8,8192,24,8733,8733,590.0,407500.0,40.833333,6,calico,http://192.168.39.192:31949,/home/darius/dizertatie/masters-research/results/c8-r8g/20260517T142647Z,8,8,1.0,29.11,7.143558282208589e-05
c8-r8g,20260517T144342Z,8,8192,24,8899,8899,576.0,527000.0,60.333333,6,cilium,http://192.168.39.197:30614,/home/darius/dizertatie/masters-research/results/c8-r8g/20260517T144342Z,8,8,1.0,29.663333333333334,5.628716002530044e-05
c8-r8g,20260517T152754Z,8,8192,24,9252,9252,551.0,251333.333333,18.0,6,baseline,http://10.101.36.176:80,/home/darius/dizertatie/masters-research/results/c8-r8g/20260517T152754Z,8,8,1.0,30.84,0.00012270557029193995
c8-r8g,20260517T154014Z,8,8192,24,9069,9069,563.0,736000.0,52.666667,6,calico,http://192.168.39.22:31816,/home/darius/dizertatie/masters-research/results/c8-r8g/20260517T154014Z,8,8,1.0,30.23,4.107336956521739e-05
